timestamp,freq_mhz,perf_pct,usage_pct,temp_c
2026-02-25 07:48:29,2500,143.8,96.4,98
2026-02-25 07:48:35,2500,142.2,94.9,-1
2026-02-25 07:48:37,2500,142.9,72.9,96
2026-02-25 07:48:43,2500,139.3,93.5,-1
2026-02-25 07:48:46,2500,144.6,82.7,100
2026-02-25 07:48:52,2500,139,98.6,-1
2026-02-25 07:48:54,2500,140.5,89.2,98
2026-02-25 07:49:00,2500,150.7,75.3,-1
2026-02-25 07:49:02,2500,161.6,60.2,98
2026-02-25 07:49:09,2500,147.6,83.1,-1
2026-02-25 07:49:10,2500,152.5,61.8,98
2026-02-25 07:49:17,2500,159.2,39.6,-1
2026-02-25 07:49:19,2500,161.5,28.9,97
2026-02-25 07:49:25,2500,151.5,87.2,-1
2026-02-25 07:49:27,2500,144.3,35.1,98
2026-02-25 07:49:34,2500,153.4,33,-1
2026-02-25 07:49:35,2500,157.7,30.9,90
2026-02-25 07:49:42,2500,148.1,60.9,-1
2026-02-25 07:49:44,2500,152.3,30.3,96
2026-02-25 07:49:50,2500,156.1,92.7,-1
2026-02-25 07:49:52,2500,140.9,54.7,97
2026-02-25 07:49:59,2500,151.6,34.8,-1
2026-02-25 07:50:00,2500,150.1,81.6,92
2026-02-25 07:50:07,2500,150.9,37.5,-1
2026-02-25 07:50:09,2500,151.8,47.7,97
2026-02-25 07:50:15,2500,155.7,27.5,-1
2026-02-25 07:50:17,2500,156.8,21.7,100
2026-02-25 07:50:24,2500,151,43.3,-1
2026-02-25 07:50:25,2500,146.9,32.2,94
2026-02-25 07:50:32,2500,159.9,70.5,-1
2026-02-25 07:50:33,2500,146.8,59,96
2026-02-25 07:50:40,2500,154.8,97.7,-1
2026-02-25 07:50:42,2500,145.4,76.1,92
2026-02-25 07:50:49,2500,150.8,35.2,-1
2026-02-25 07:50:50,2500,165.6,53.3,98
2026-02-25 07:50:57,2500,163.4,42.2,-1
2026-02-25 07:50:58,2500,171.7,11.4,92
2026-02-25 07:51:05,2500,173.3,12.9,-1
2026-02-25 07:51:07,2500,165.4,10,83
2026-02-25 07:51:14,2500,165.9,22.1,-1
2026-02-25 07:51:15,2500,176.4,18,89
2026-02-25 07:51:22,2500,163,25.8,-1
2026-02-25 07:51:23,2500,155.1,32.6,98
2026-02-25 07:51:30,2500,151.5,31.7,-1
2026-02-25 07:51:31,2500,150.4,38.8,94
2026-02-25 07:51:38,2500,153.7,16.4,-1
2026-02-25 07:51:39,2500,158.3,22.7,100
2026-02-25 07:51:47,2500,153.6,22.7,-1
2026-02-25 07:51:48,2500,158.5,18.6,93
2026-02-25 07:51:55,2500,146.5,87.7,-1
2026-02-25 07:51:56,2500,153.4,99.3,97
2026-02-25 07:52:04,2500,149.3,97,-1
2026-02-25 07:52:05,2500,146.5,98.9,97
2026-02-25 07:52:13,2500,146.1,73.5,-1
2026-02-25 07:52:14,2500,149.2,67.2,96
2026-02-25 07:52:22,2500,154.4,75.1,-1
2026-02-25 07:52:22,2500,151.7,67.9,96
2026-02-25 07:52:31,2500,150.8,81.8,96
2026-02-25 07:52:30,2500,153.2,82.4,-1
2026-02-25 07:52:39,2500,151.6,98.3,96
2026-02-25 07:52:39,2500,151.8,98.6,-1
2026-02-25 07:52:47,2500,153.3,79.1,97
2026-02-25 07:52:48,2500,155.8,85.5,-1
2026-02-25 07:52:56,2500,147,84.8,94
2026-02-25 07:52:56,2500,148.1,84,-1
2026-02-25 07:53:04,2500,144,91.2,94
2026-02-25 07:53:05,2500,145.4,90.5,-1
2026-02-25 07:53:13,2500,144,95.4,97
2026-02-25 07:53:13,2500,144.7,94.6,-1
2026-02-25 07:53:21,2500,142.7,99.8,96
2026-02-25 07:53:22,2500,144.1,99.5,-1
2026-02-25 07:53:30,2500,141.4,90.7,97
2026-02-25 07:53:31,2500,140.7,86.5,-1
2026-02-25 07:53:38,2500,143.5,92.8,93
2026-02-25 07:53:39,2500,144.2,83.7,-1
2026-02-25 07:53:47,2500,141.1,86.4,97
2026-02-25 07:53:48,2500,140.3,91.5,-1
2026-02-25 07:53:55,2500,141.4,81.5,96
2026-02-25 07:53:56,2500,144.3,66.6,-1
2026-02-25 07:54:04,2500,158.6,49.1,91
2026-02-25 07:54:05,2500,153.4,67.3,-1
2026-02-25 07:54:12,2500,154.3,22.7,96
2026-02-25 07:54:13,2500,151.8,23.5,-1
2026-02-25 07:54:20,2500,148.7,21.1,93
2026-02-25 07:54:21,2500,158.7,90.5,-1
2026-02-25 07:54:29,2500,151.8,26.4,96
2026-02-25 07:54:30,2500,157.8,23.4,-1
2026-02-25 07:54:37,2500,150.1,37.2,97
2026-02-25 07:54:38,2500,156.3,38.2,-1
2026-02-25 07:54:45,2500,156.9,22.9,96
2026-02-25 07:54:46,2500,156.8,64.2,-1
2026-02-25 07:54:53,2500,153.8,31.5,100
2026-02-25 07:54:55,2500,151.1,49.6,-1
2026-02-25 07:55:02,2500,155.4,39.1,98
2026-02-25 07:55:03,2500,151,55.5,-1
2026-02-25 07:55:10,2500,153.7,41.2,97
2026-02-25 07:55:11,2500,161.7,44.5,-1
2026-02-25 07:55:18,2500,161.3,8,79
2026-02-25 07:55:19,2500,162.1,8.8,-1
2026-02-25 07:55:26,2500,163.9,10.6,83
2026-02-25 07:55:28,2500,161.1,11.5,-1
2026-02-25 07:55:34,2500,163.5,10.5,88
2026-02-25 07:55:36,2500,152.8,19.3,-1
2026-02-25 07:55:43,2500,175.5,27.4,85
2026-02-25 07:55:44,2500,153.1,31.1,-1
2026-02-25 07:55:51,2500,151,31.7,97
2026-02-25 07:55:52,2500,149.8,18.8,-1
2026-02-25 07:55:59,2500,157.7,24.3,97
2026-02-25 07:56:01,2500,156.2,18.2,-1
2026-02-25 07:56:07,2500,151.8,20.2,97
2026-02-25 07:56:09,2500,159.3,14.3,-1
2026-02-25 07:56:15,2500,146.7,100,79
2026-02-25 07:56:17,2500,147.7,99.8,-1
2026-02-25 07:56:24,2500,144.7,98.5,79
2026-02-25 07:56:26,2500,143.7,96.3,-1
2026-02-25 07:56:32,2500,146.3,92.2,94
2026-02-25 07:56:34,2500,148.2,90.1,-1
2026-02-25 07:56:41,2500,150.6,89.6,100
2026-02-25 07:56:42,2500,148.7,88.5,-1
2026-02-25 07:56:49,2500,145.7,79.4,100
2026-02-25 07:56:51,2500,149.8,94.9,-1
2026-02-25 07:56:58,2500,144.2,95.5,96
2026-02-25 07:56:59,2500,145.4,99.9,-1
2026-02-25 07:57:06,2500,143.9,96.2,98
2026-02-25 07:57:08,2500,146.2,86.9,-1
2026-02-25 07:57:14,2500,155.1,92.8,92
2026-02-25 07:57:16,2500,138.6,99.3,-1
2026-02-25 07:57:23,2500,143.4,91.7,100
2026-02-25 07:57:25,2500,143.4,93.6,-1
2026-02-25 07:57:31,2500,148.7,82.1,96
2026-02-25 07:57:33,2500,149.2,76.4,-1
2026-02-25 07:57:39,2500,152,49.9,93
2026-02-25 07:57:42,2500,149.4,65.4,-1
2026-02-25 07:57:48,2500,155.1,57.8,98
2026-02-25 07:57:50,2500,142.2,35.5,-1
2026-02-25 07:57:56,2500,148.7,77.1,94
2026-02-25 07:57:58,2500,146.2,57.1,-1
2026-02-25 07:58:04,2500,150.6,89,96
2026-02-25 07:58:07,2500,156.3,59.5,-1
2026-02-25 07:58:13,2500,151.2,48.1,93
2026-02-25 07:58:15,2500,148.6,35.6,-1
2026-02-25 07:58:21,2500,154.6,30.1,94
2026-02-25 07:58:24,2500,154.8,47.1,-1
2026-02-25 07:58:29,2500,147.9,29.3,97
2026-02-25 07:58:32,2500,152.1,59.7,-1
2026-02-25 07:58:38,2500,161.4,26.6,98
2026-02-25 07:58:40,2500,147.7,64.7,-1
2026-02-25 07:58:46,2500,152.3,44,94
2026-02-25 07:58:49,2500,143.5,61,-1
2026-02-25 07:58:54,2500,152,25.2,94
2026-02-25 07:58:57,2500,158.5,16.8,-1
2026-02-25 07:59:02,2500,171.4,21.2,97
2026-02-25 07:59:05,2500,156.8,12.3,-1
2026-02-25 07:59:10,2500,157.4,23.9,100
2026-02-25 07:59:14,2500,166.3,8.7,-1
2026-02-25 07:59:19,2500,159,12.8,89
2026-02-25 07:59:22,2500,160.2,8.5,-1
2026-02-25 07:59:27,2500,163,20.5,97
2026-02-25 07:59:30,2500,155.2,28.2,-1
2026-02-25 07:59:35,2500,153.8,83.3,97
2026-02-25 07:59:38,2500,151.6,98.3,-1
2026-02-25 07:59:44,2500,151.6,35.6,93
2026-02-25 07:59:47,2500,148.6,37,-1
2026-02-25 07:59:52,2500,152.1,18.2,97
2026-02-25 07:59:55,2500,148.7,49.7,-1
2026-02-25 08:00:00,2500,144.3,100,98
2026-02-25 08:00:04,2500,144.4,100,-1
2026-02-25 08:00:09,2500,142.8,100,98
2026-02-25 08:00:13,2500,143.4,100,-1
2026-02-25 08:00:18,2500,140.1,94.1,100
2026-02-25 08:00:22,2500,146.3,98.1,-1
2026-02-25 08:00:26,2500,147.8,94.3,97
2026-02-25 08:00:30,2500,143.8,98.9,-1
2026-02-25 08:00:34,2500,148.2,86,98
2026-02-25 08:00:39,2500,152.5,59.5,-1
2026-02-25 08:00:43,2500,146,90.7,96
2026-02-25 08:00:47,2500,140.7,97.6,-1
2026-02-25 08:00:51,2500,149.6,84.7,100
2026-02-25 08:00:55,2500,143.4,96.7,-1
2026-02-25 08:00:59,2500,141.3,97.3,96
2026-02-25 08:01:04,2500,144.3,97.7,-1
2026-02-25 08:01:08,2500,145,93.2,98
2026-02-25 08:01:12,2500,145.7,76,-1
2026-02-25 08:01:16,2500,154.6,60.8,97
2026-02-25 08:01:21,2500,144.4,60.7,-1
2026-02-25 08:01:24,2500,149.4,59.1,100
2026-02-25 08:01:29,2500,141.8,70.3,-1
2026-02-25 08:01:32,2500,140.9,96.9,98
2026-02-25 08:01:37,2500,147.8,72.3,-1
2026-02-25 08:01:41,2500,149,63.2,96
2026-02-25 08:01:46,2500,161.3,37.7,-1
2026-02-25 08:01:49,2500,152.8,41.6,98
2026-02-25 08:01:54,2500,152.7,76.5,-1
2026-02-25 08:01:57,2500,153.3,27.1,98
2026-02-25 08:02:02,2500,146.5,66.5,-1
2026-02-25 08:02:06,2500,154.2,39.9,96
2026-02-25 08:02:11,2500,152.7,58.6,-1
2026-02-25 08:02:14,2500,155.5,18.5,94
2026-02-25 08:02:19,2500,149.7,46.3,-1
2026-02-25 08:02:22,2500,151.1,45.6,100
2026-02-25 08:02:27,2500,152,24.6,-1
2026-02-25 08:02:30,2500,156.1,20,92
2026-02-25 08:02:36,2500,167.5,34.9,-1
2026-02-25 08:02:38,2500,184.4,22.6,97
2026-02-25 08:02:44,2500,192.2,21.7,-1
2026-02-25 08:02:47,2500,174.8,62.3,97
2026-02-25 08:02:52,2500,186.2,32,-1
2026-02-25 08:02:55,2500,170.7,36,96
2026-02-25 08:03:01,2500,163.7,69,-1
2026-02-25 08:03:03,2500,169.5,54.6,99
2026-02-25 08:03:09,2500,163.9,57.4,-1
2026-02-25 08:03:12,2500,173.7,23.7,92
2026-02-25 08:03:17,2500,182.4,25.8,-1
2026-02-25 08:03:20,2500,195.1,15.7,94
2026-02-25 08:03:26,2500,182.3,38.9,-1
2026-02-25 08:03:28,2500,179.6,30.2,93
2026-02-25 08:03:34,2500,157.7,34,-1
2026-02-25 08:03:36,2500,160.1,55.8,94
2026-02-25 08:03:42,2500,175,25.4,-1
2026-02-25 08:03:45,2500,165.6,27.8,93
2026-02-25 08:03:51,2500,166.4,36.7,-1
2026-02-25 08:03:53,2500,183,19,93
